setup,r,theta,t,energy,power
vertical,2.5,0,20,10,500
vertical,5,0,40,10,250
vertical,7.5,0,60,10,166.6666667
vertical,7.5,0,70,10,142.8571429
vertical,10,0,180,10,55.55555556
vertical,15,0,290,10,34.48275862
vertical,20,0,500,10,20
vertical,10,15,160,10,62.5
vertical,10,30,240,10,41.66666667
vertical,15,45,1860,10,5.376344086
vertical,15,57,2760,10,3.623188406
vertical,10,0,180,10,55.55555556
vertical,10,0,170,10,58.82352941
vertical,20,0,480,10,20.83333333
vertical,10,15,200,10,50
vertical,20,34,720,10,13.88888889
face_down,0,0,6,10,1666.666667
face_down,0,0,12,20,1666.666667
